uberColorU uberColorG uberColorR uberColorI
1.318857 0.674181 0.4312229 0.2889462
1.189266 0.40769 0.2314796 0.1470804
1.036108 0.3775616 0.3217831 0.1106129
1.232336 0.5092487 0.2564049 0.1867065
1.159416 0.4562931 0.3266621 0.1355762
2.027018 1.160433 0.4610748 0.3299465
1.455009 0.7527981 0.4126301 0.3157673
1.050604 0.286417 0.1688385 -0.04961395
1.724684 0.93396 0.4375992 0.3179092
1.43902 0.7793655 0.4214153 0.3076687
1.10733 0.4463081 0.3349438 0.1937637
2.208078 1.004881 0.4371834 0.3547802
2.305208 1.194723 0.4373226 0.3105583
1.206842 0.9137669 0.4435883 0.2926197
1.553679 0.8591328 0.4118595 0.3351326
2.081961 1.109741 0.4120808 0.3542881
1.471615 1.131817 0.4864311 0.2904148
